,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구,00-06생활인구,06-11생활인구,11-14생활인구,14-17생활인구,17-21생활인구,21-24생활인구,월요일생활인구,화요일생활인구,수요일생활인구,목요일생활인구,금요일생활인구,토요일생활인구,일요일생활인구,평일생활인구,주말생활인구
83,1001413,2,전통시장,까치산시장,1046592,107715,171218,193806,164506,147565,261783,184214,202541,127443,142447,235096,154851,151534,150921,146919,148500,148938,151952,147829,746812,299781
84,1001412,2,전통시장,화곡본동시장,164468,24687,23273,29374,26006,21645,39483,37295,32194,19777,21124,31461,22617,23426,23430,23397,23351,23310,23964,23591,116914,47555
85,1001411,2,전통시장,남부골목시장,406436,53582,46210,62247,63587,62853,117957,94739,73858,47548,53353,80576,56362,56804,56534,56972,56128,57033,61512,61452,283471,122964
86,1001410,2,전통시장,대원종합시장,42982,6870,5152,6377,6567,6498,11517,6386,7476,5965,7392,10199,5564,6088,6007,6082,5993,6007,6460,6343,30177,12803
87,1001409,2,전통시장,화곡중앙골목시장,226930,37844,26398,34744,33310,32610,62022,53142,40727,26167,29285,44501,33108,31850,31827,32081,31708,31630,33893,33939,159096,67832
88,1001408,2,전통시장,신월중앙시장,31682,4503,5333,5820,5553,4453,6021,1923,5552,6672,7152,8026,2358,4528,4558,4694,4647,4616,4556,4083,23043,8639
89,1001407,2,전통시장,등마루시장,37910,5761,5675,8345,6232,4621,7277,11419,7733,4157,3971,5481,5149,5411,5370,5460,5338,5339,5423,5569,26918,10992
90,1001406,2,전통시장,신정3동골목시장,228185,43356,24788,25322,38888,39127,56706,36012,41712,32653,36755,51920,29136,32745,32998,33362,33130,33196,32669,30086,165431,62755
91,1001405,2,전통시장,신정2동골목시장,240003,51214,29573,25450,39841,39327,54598,58753,45117,29048,30386,44250,32447,33199,32885,33192,32635,33618,36768,37707,165529,74475
92,1001404,2,전통시장,신정제일시장,22466,3636,2881,3090,3796,3661,5402,2914,4310,3751,3843,5049,2600,3163,3164,3220,3157,3252,3381,3130,15956,6511
93,1001403,2,전통시장,신월7동골목시장,60114,8060,6131,6784,9339,10047,19753,9568,9700,7758,9317,14972,8799,8381,8323,8401,8290,8481,9182,9057,41876,18239
94,1001402,2,전통시장,신월6동골목시장,60195,9265,6357,9459,9237,9875,16002,10941,11566,8141,8691,12721,8135,8485,8391,8576,8515,8303,8968,8956,42270,17924
95,1001401,2,전통시장,신곡종합시장,113940,20114,12155,20054,18677,16787,26156,37233,23858,11219,10912,16385,14333,15981,15922,16075,15935,15827,16875,17327,79740,34202
