,상권코드,분기,상권구분,상권명,서비스업종,점포수,분기당매출,주중매출금액,주말매출금액,10대매출,20대매출,30대매출,40대매출,50대매출,60대이상매출,00~06매출,06~11매출,11~14매출,14~17매출,17~21매출,21~24매출
13477,1001099,2,발달상권,포스코사거리_2,한식음식점,48,4967855998,4375798950,592057048,4994224,473423859,974318879,820100842,507716487,285400693,40084839,51795147,1901060603,238633911,1982435827,753845671
13478,1001098,2,발달상권,포스코사거리_1,한식음식점,66,6995572980,6142184783,853388197,6332658,534248711,1061252455,1078748050,819692033,532867520,6404125,36445906,2661527559,420123220,2838436206,1032635964
13479,1001097,2,발달상권,잠실역 롯데월드,한식음식점,29,182578624,128411145,54167479,1392410,22064694,45944979,38910124,36662247,15994513,0,627950,103625336,30774081,47551257,0
13480,1001096,2,발달상권,신도림역,한식음식점,87,2217041930,1665596997,551444933,9619711,345110690,519661221,354988782,318752735,255416554,1226928,14650887,951737283,278691842,750280472,220454518
13481,1001095,2,발달상권,강남구 논현역_2,한식음식점,181,11506997706,9024691043,2482306663,20577043,2082455803,2880452967,1858586135,1179148386,767784075,116861469,246827970,2127537069,739890895,5214156214,3061724089
13482,1001094,2,발달상권,선정릉역_1,한식음식점,5,1083099551,829876056,253223495,317169,71898281,141596879,139634919,177272226,159745031,0,33923909,463301329,168936175,362604657,54333481
13483,1001093,2,발달상권,신천역,한식음식점,188,13997769795,9756210871,4241558924,162186343,3115987642,2978958132,2462964850,1847740532,1069897190,26236224,182548497,2237035842,1252676251,6770818769,3528454212
13484,1001092,2,발달상권,강남구 논현역_1,한식음식점,93,4886914432,4074921170,811993262,7725021,554615558,964174361,767418603,811104339,373268851,11680083,31548289,1619333262,450267856,1936034544,838050398
13485,1001091,2,발달상권,삼성역_2,한식음식점,19,2859644953,2322713008,536931945,1643841,355065177,691904551,504665373,310665621,181498163,370923,92406087,1236662611,235812428,933313564,361079340
13486,1001090,2,발달상권,삼정역_2,한식음식점,18,2051004847,1797884186,253120661,1771202,395831554,579465072,257182750,189209598,98953442,18905105,4261688,610698051,116606399,923498644,377034960
13487,1001089,2,발달상권,삼정역_1,한식음식점,7,364647934,313218877,51429057,174207,53197633,75057052,49972294,24133961,13798287,5006607,19164950,234028107,25030182,62093930,19324158
