,행정동코드,시군구명,행정동명
402,11710720,송파구,잠실7동
403,11710670,송파구,잠실2동
404,11710680,송파구,잠실3동
405,11710646,송파구,장지동
406,11710647,송파구,위례동
407,11740515,강동구,강일동
408,11740520,강동구,상일동
409,11740530,강동구,명일1동
410,11740540,강동구,명일2동
411,11740550,강동구,고덕1동
412,11740560,강동구,고덕2동
413,11740580,강동구,암사2동
414,11740590,강동구,암사3동
415,11740600,강동구,천호1동
416,11740620,강동구,천호3동
417,11740640,강동구,성내1동
418,11740650,강동구,성내2동
419,11740660,강동구,성내3동
420,11740690,강동구,둔촌1동
421,11740700,강동구,둔촌2동
422,11740570,강동구,암사1동
423,11740610,강동구,천호2동
424,11740685,강동구,길동
