,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
824,1000671,2,골목상권,시흥대로120길,508897,41980,79680,95596,82381,96050,113212
825,1000670,2,골목상권,벚꽃로56길,447760,15598,80080,93822,90449,84734,83075
826,1000669,2,골목상권,범안로17길,246991,22641,43910,53279,41729,40726,44707
827,1000668,2,골목상권,범안로11길,236037,17961,46215,55093,43743,36749,36277
828,1000667,2,골목상권,문성로5길,451155,40780,72027,83716,67887,79151,107595
829,1000666,2,골목상권,독산로85길,90700,7183,11994,14907,14120,18525,23973
830,1000665,2,골목상권,독산로78다길,620809,74088,80855,102503,93416,106549,163396
831,1000664,2,골목상권,독산로70길,820037,76994,114909,131221,126708,159104,211100
832,1000663,2,골목상권,독산로64길,460613,48810,62881,76487,68890,87852,115694
833,1000662,2,골목상권,독산로50길,301540,51205,35761,43335,42290,47249,81698
834,1000661,2,골목상권,독산로40길,557298,80955,65667,75305,80745,92607,162019
835,1000660,2,골목상권,독산로108길,631427,72464,91032,99372,97793,114754,156014
836,1000659,2,골목상권,남부순환로112길,417630,14365,102428,108982,66783,54355,70718
837,1000658,2,골목상권,금하로24길,421863,69582,47593,51555,64359,66848,121925
838,1000657,2,골목상권,금하로1길,370578,68796,44986,50379,62049,60745,83622
839,1000656,2,골목상권,금하로14길,314561,43451,46179,46316,48223,52138,78256
840,1000655,2,골목상권,가산로5길,777743,51974,181265,210460,119937,99597,114508
841,1000654,2,골목상권,가산로3길,279255,21972,63285,76215,44649,34228,38906
842,1000653,2,골목상권,중앙로1길,353309,67917,46075,44567,54881,61039,78830
843,1000652,2,골목상권,중앙로15길,324972,67635,36241,39521,52025,44265,85287
844,1000651,2,골목상권,우마길,323101,14810,41715,58335,60917,66284,81040
845,1000650,2,골목상권,오류로8길,895448,89642,139616,161889,128469,123160,252674
846,1000649,2,골목상권,신도림로13길,331203,78285,32869,47924,55471,49368,67287
847,1000648,2,골목상권,새말로18길,698266,55551,135451,152270,113917,103950,137126
848,1000647,2,골목상권,부일로1길,196957,30823,22461,32299,35733,29785,45858
849,1000646,2,골목상권,부일로15길,424917,106428,45921,46573,66780,66242,92975
850,1000645,2,골목상권,부일로11길,440386,99530,50191,55643,68187,67213,99621
851,1000644,2,골목상권,디지털로32길,591630,17846,149858,168092,116353,75454,64026
852,1000643,2,골목상권,디지털로32가길,407911,9259,112659,128617,78849,41617,36909
853,1000642,2,골목상권,디지털로27길,387693,18322,61756,86204,90976,61542,68893
854,1000641,2,골목상권,도림로6길,935782,83040,97653,157342,173941,163891,259916
855,1000640,2,골목상권,도림로12길,657853,91711,60251,123299,130332,86386,165874
856,1000639,2,골목상권,남부순환로97길,135928,23476,14757,18911,21719,19881,37184
857,1000638,2,골목상권,구로중앙로8길,1148979,136942,120256,179121,199011,219653,293999
858,1000637,2,골목상권,구로중앙로7길,259089,29573,22326,39638,46666,48750,72136
859,1000636,2,골목상권,구로중앙로42길,208812,41457,22270,33470,35312,31836,44466
860,1000635,2,골목상권,구로중앙로34길,491195,49588,66684,93994,82767,80986,117178
861,1000634,2,골목상권,구로중앙로28길,771874,89753,105627,146066,134752,127603,168070
862,1000633,2,골목상권,구로중앙로19길,344180,34379,46575,54114,64021,62820,82271
863,1000632,2,골목상권,구로동로8길,1424845,121575,156625,224699,258290,251604,412050
864,1000631,2,골목상권,구로동로7길,663411,42405,79928,110582,129106,125008,176382
865,1000630,2,골목상권,구로동로42길,451993,45298,54587,70857,84393,82923,113933
866,1000629,2,골목상권,구로동로41길,1026280,92425,127335,169983,178197,192808,265530
867,1000628,2,골목상권,구로동로38길,548214,51922,67803,88714,99442,103851,136481
868,1000627,2,골목상권,구로동로28길,507701,42280,54490,65418,89584,99018,156909
869,1000626,2,골목상권,구로동로15길,284258,21330,34296,48444,54487,50713,74988
870,1000625,2,골목상권,공원로6가길,494448,45975,92112,106586,79288,71343,99144
871,1000624,2,골목상권,고척로52길,478210,73731,53270,67156,72012,76852,135189
872,1000623,2,골목상권,고척로27다길,679970,139744,83876,78979,95992,112478,168900
873,1000622,2,골목상권,고척로27길,984440,177117,116119,129469,147382,170683,243671
874,1000621,2,골목상권,고척로21나길,840372,158837,94471,101061,120477,122013,243513
875,1000620,2,골목상권,경인로47길,414840,76272,64921,53584,63266,64159,92636
876,1000619,2,골목상권,경인로35길,684917,92696,80403,102662,97001,109630,202524
877,1000618,2,골목상권,경인로31길,321212,46366,35187,41120,46283,56745,95509
878,1000617,2,골목상권,경인로15길,785174,107671,119614,122404,120539,117668,197280
879,1000616,2,골목상권,개봉로3길,326438,63599,32601,40987,48512,49058,91681
880,1000615,2,골목상권,개봉로2길,416237,75747,45039,60047,62165,58522,114717
881,1000614,2,골목상권,개봉로23가길,640164,107429,75590,93801,99241,100720,163385
882,1000613,2,골목상권,개봉로20길,388559,73645,40688,52124,65249,52031,104823
883,1000612,2,골목상권,개봉로1길,393923,74272,42493,51015,59008,58520,108614
884,1000611,2,골목상권,개봉로17다길,464813,61770,60589,77939,70298,69191,125025
885,1000610,2,골목상권,개봉로17길,784003,145184,97426,111642,113288,115267,201198
886,1000609,2,골목상권,개봉로11길,411404,83117,43525,53709,56876,60028,114148
887,1000608,2,골목상권,화곡로64길,690426,83712,124090,162512,98580,86079,135453
888,1000607,2,골목상권,화곡로59길,597771,59268,108374,120045,103343,88350,118392
889,1000606,2,골목상권,화곡로44나길,947772,112040,159644,166272,146282,134252,229283
890,1000605,2,골목상권,화곡로31길,698478,77700,110416,127836,107840,101739,172950
891,1000604,2,골목상권,화곡로20길,1059731,163014,150631,172150,166334,144326,263274
892,1000603,2,골목상권,화곡로13길,728880,124790,93571,113078,111554,100953,184935
893,1000602,2,골목상권,초원로16길,522661,92073,58937,74815,78321,79188,139326
894,1000601,2,골목상권,초록마을로8길,1124038,197407,153319,192657,183536,133383,263736
895,1000600,2,골목상권,초록마을로3길,1314954,186829,231460,244857,204995,164489,282324
896,1000599,2,골목상권,월정로20길,1092229,81113,217186,255972,160776,134932,242253
897,1000598,2,골목상권,우장산로6길,2036296,627985,203960,228667,363243,254600,357841
898,1000597,2,골목상권,양천로73가길,667854,143296,68414,124500,132136,85294,114214
899,1000596,2,골목상권,양천로71길,934498,254886,79028,159421,198394,101798,140970
900,1000595,2,골목상권,양천로49길,194846,21932,32042,46617,29106,28682,36466
901,1000594,2,골목상권,양천로26길,362104,62006,37318,74164,64658,50369,73589
902,1000593,2,골목상권,양천로24길,937657,170421,101097,157089,135416,131167,242466
903,1000592,2,골목상권,양천로24가길,753053,135204,70893,120077,107508,113599,205776
904,1000591,2,골목상권,양천로14길,545761,82954,64632,94702,80944,84501,138030
905,1000590,2,골목상권,방화대로6라길,640611,162675,71446,98146,112362,84541,111444
906,1000589,2,골목상권,방화대로21길,299814,42620,41985,49087,42230,44247,79646
907,1000588,2,골목상권,등촌로5길,355664,44298,49722,59966,58641,51541,91495
908,1000587,2,골목상권,등촌로55길,542555,73905,84385,116942,88519,70763,108040
909,1000586,2,골목상권,등촌로51길,347724,62026,44783,59622,55954,43725,81615
